법령명,조문명
"여성의 경제활동 촉진과 경력단절 예방법 시행규칙[시행2022. 6. 8.] [고용노동부령 제352호,2022. 6. 8., 전부개정]",제1조 목적
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제20조 규제의 재검토
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제19조 업무처리규정
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제18조의3 대행기관의 지정취소 등
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제18조의2 대행기관의 지정 및 운영
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제18조 수수료 등의 징수
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제17조 제5장 보칙
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제17조 자료 제출의 요구 등
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제16조 사업 또는 사업장의 변경
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제15조의2 제4장 외국인근로자의 보호
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제15조의2 외국인근로자 권익보호협의회의 구성 및 운영
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제15조 고용 제한의 통지
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제14조의3 재입국 취업 제한의 특례에 관한 절차
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제14조의2 취업활동 기간 제한에 관한 특례 절차
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제14조 제3장 외국인근로자의 고용 관리
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제14조 고용변동 등의 신고
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제13조 특례고용가능확인서의 변경 확인
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제12조의3 근로개시 신고
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제12조의2 특례고용가능확인서의 발급
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제12조 구직신청
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제11조의5 외국인 취업교육기관의 지정취소 등
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제11조의4 외국인 취업교육기관의 운영
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제11조의3 외국인 취업교육기관의 지정절차 등
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제11조의2 사용자 교육
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제11조 외국인 취업교육의 시간ㆍ내용 등
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제10조 외국인 취업교육 이수기한
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제9조 고용허가기간 연장허가
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제8조 표준근로계약서
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제7조 
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제6조 고용허가서의 재발급
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제5조의2 내국인 구인노력 기간
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제5조 고용허가서의 발급
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제4조 
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제3조 
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제2조 제2장 외국인근로자 고용절차
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제2조 직업소개
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제1조 목적
"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2024. 1. 10.] [고용노동부령 제408호,2024. 1. 10., 일부개정]",제1조 제1장 총칙
"유해ㆍ위험작업의 취업 제한에 관한 규칙[시행2025. 1. 31.] [고용노동부령 제433호,2025. 1. 31., 일부개정]",제13조 
"유해ㆍ위험작업의 취업 제한에 관한 규칙[시행2025. 1. 31.] [고용노동부령 제433호,2025. 1. 31., 일부개정]",제12조 수료증등의 재발급
"유해ㆍ위험작업의 취업 제한에 관한 규칙[시행2025. 1. 31.] [고용노동부령 제433호,2025. 1. 31., 일부개정]",제11조 수료증 등의 발급
"유해ㆍ위험작업의 취업 제한에 관한 규칙[시행2025. 1. 31.] [고용노동부령 제433호,2025. 1. 31., 일부개정]",제10조 등록
"유해ㆍ위험작업의 취업 제한에 관한 규칙[시행2025. 1. 31.] [고용노동부령 제433호,2025. 1. 31., 일부개정]",제9조 교육계획의 수립
"유해ㆍ위험작업의 취업 제한에 관한 규칙[시행2025. 1. 31.] [고용노동부령 제433호,2025. 1. 31., 일부개정]",제8조 교육방법 등
"유해ㆍ위험작업의 취업 제한에 관한 규칙[시행2025. 1. 31.] [고용노동부령 제433호,2025. 1. 31., 일부개정]",제7조 교육 내용 및 기간 등
"유해ㆍ위험작업의 취업 제한에 관한 규칙[시행2025. 1. 31.] [고용노동부령 제433호,2025. 1. 31., 일부개정]",제6조의2 
"유해ㆍ위험작업의 취업 제한에 관한 규칙[시행2025. 1. 31.] [고용노동부령 제433호,2025. 1. 31., 일부개정]",제6조 지정서의 반납
"유해ㆍ위험작업의 취업 제한에 관한 규칙[시행2025. 1. 31.] [고용노동부령 제433호,2025. 1. 31., 일부개정]",제5조 지정 신청 등
"유해ㆍ위험작업의 취업 제한에 관한 규칙[시행2025. 1. 31.] [고용노동부령 제433호,2025. 1. 31., 일부개정]",제4조 자격취득 등을 위한 교육기관
"유해ㆍ위험작업의 취업 제한에 관한 규칙[시행2025. 1. 31.] [고용노동부령 제433호,2025. 1. 31., 일부개정]",제3조 자격ㆍ면허 등이 필요한 작업의 범위 등
"유해ㆍ위험작업의 취업 제한에 관한 규칙[시행2025. 1. 31.] [고용노동부령 제433호,2025. 1. 31., 일부개정]",제2조 정의
"유해ㆍ위험작업의 취업 제한에 관한 규칙[시행2025. 1. 31.] [고용노동부령 제433호,2025. 1. 31., 일부개정]",제1조 목적
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제17조 
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제15조 
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제14조 공단의 보고
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제13조 업무처리규정
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제12조의2 미회수자료의 제공 절차 및 방법 등
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제12조 지급 사유 발생 사업주의 관리
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제11조의3 기금관리요원
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제11조의2 부정수급사실의 신고 등
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제11조 반환 요구 및 추가 징수 등
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제10조 재산목록의 제출
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제9조의2 체불 임금등ㆍ사업주 확인서의 발급
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제9조 부담금 경감 신청 및 통지
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제8조의12 임금등 체불 근로자 생계비 융자
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제8조의11 체불 임금등 융자계약의 체결
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제8조의10 체불 임금등 융자의 금액과 조건
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제8조의9 체불 임금등 융자의 신청
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제8조의8 융자대상사업주의 확인
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제8조의7 체불 임금등 융자금지급대상근로자
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제8조의6 체불 임금등의 융자대상사업주
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제8조의5 
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제8조의4 비용지원 금액 및 절차 등
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제8조의3 대지급금 관련업무 지원 공인노무사 등
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제8조의2 대지급금 관련업무 지원 대상 기준
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제8조 대지급금의 지급
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제7조 확인의 통지 등
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제6조 확인의 신청
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제5조 대지급금의 지급 청구
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제4조 도산등사실인정의 통지
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제3조 
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제2조 도산등사실인정의 신청
"임금채권보장법 시행규칙[시행2024. 8. 7.] [고용노동부령 제423호,2024. 8. 6., 일부개정]",제1조 목적
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제8조 
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제7조 공인자격의 폐지
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제6조의3 공인받은 사항의 변경
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제6조의2 공인증서의 재발급
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제6조 공인자격증의 기재 사항
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제5조의2 공인자격 교육훈련과정의 승인 신청
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제5조 공인증서의 기재사항 등
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제4조의2 
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제4조 민간자격의 관리ㆍ운영 규정
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제3조 공인ㆍ재공인 신청서
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제2조의6 피한정후견인의 행위능력 증명방법 등
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제2조의5 민간자격등록관리자문위원회의 설치 및 운영 등
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제2조의4 등록자격의 폐지
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제2조의3 등록증의 재발급
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제2조의2 변경등록
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제2조 민간자격의 등록
"자격기본법 시행규칙[시행2024. 6. 27.] [교육부령 제332호,2024. 6. 27., ]",제1조 목적
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제23조 규제의 재검토
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제22조의2 국가와 지방자치단체에 대한 특례
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제22조 전문요원의 종류 등
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제21조 공매대행 수수료
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제20조 독촉장
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제19조 부담금의 징수 및 추가징수의 통지
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제18조 부담금 등 과오납금의 충당 신청
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제17조 부담금의 분할납부 신청
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제16조 부담금의 환급 통지
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제15조 사업주의 부담금 신고ㆍ납부
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제14조의2 국가와 지방자치단체 등의 장애인 고용부담금의 신고ㆍ납부
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제14조 고용장려금 부정수급의 신고 등
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제13조 부당이득금에 대한 반환 및 추가징수
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제12조 장애인 고용장려금의 지급신청
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제11조 장애인 고용계획 등의 제출
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제10조 시각장애인의 장애등급
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제9조 장애인 공무원 채용계획 등의 제출
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제8조의5 장애인 기능경기 대회 등 참가 신청
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제8조의4 장애인 실태조사
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제8조의3 시정요구
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제8조의2 지원금의 추가 징수
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제8조 부당 융자금 등에 대한 반환의 통지
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제7조의5 장애인 표준사업장의 인증취소 절차 등
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제7조의4 장애인 표준사업장의 인증 신청 등
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제7조의3 장애인 표준사업장 생산품 구매계획 등의 제출
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제7조의2 근로지원인 서비스의 신청
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제7조 
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제6조의3 작업 보조 공학기기ㆍ장비의 지원 신청
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제6조의2 출퇴근 교통비 지원 신청
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제6조 자영업 장애인의 창업자금 융자기준 및 영업장소 임대기준 등
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제5조 장애인 직업재활 실시 기관
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제4조의5 장애인 인식개선 교육 강사 및 위탁교육 방법
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제4조의4 장애인 인식개선 교육기관 지정 절차
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제4조의3 장애인 인식개선 교육기관의 지정
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제4조의2 장애인 인식개선 교육 실시 결과 제출
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제4조 장애인 고용 의식의 고취를 위한 활동
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제3조 장애인 표준사업장의 기준
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제2조 중증장애인
"장애인고용촉진 및 직업재활법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., ]",제1조 목적
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제48조 규제의 재검토
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제47조 포상금의 지급
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제46조 사업자협회의 설립인가 신청 및 정관 기재 사항
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제45조 수수료
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제44조의2 직업소개사업자 등에 대한 교육훈련의 내용 등
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제44조 증표
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제43조 행정처분대장 등
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제42조 사업의 정지 또는 등록ㆍ허가의 취소기준
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제41조의5 제6장 보칙
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제41조의5 폐업신고서의 제출
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제41조의4 지도점검
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제41조의3 실연심사위원회
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제41조의2 국외 근로자공급계약 및 취업조건의 고지 등
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제41조 국외 공급 근로자의 보호 등
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제40조 근로자공급사업 폐업신고 등
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제39조 근로자공급사업 연장허가의 신청
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제38조 근로자공급사업 허가 사항의 변경
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제37조 
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제36조의2 
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제36조 근로자공급사업 허가의 신청
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제36조 제5장 근로자공급사업
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제35조 재외공관장의 협조
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제34조 국외 취업자 모집신고서 등
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제33조 제4장 근로자의 모집
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제33조 
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제32조 
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제31조 직업정보제공사업의 신고 등
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제30조 
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제29조 지도단속 및 통보
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제28조 직업소개사업의 현황 통보
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제27조 
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제26조 유료직업소개사업자의 장부 비치
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제25조 직업소개사업의 폐업신고
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제24조 
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제23조 
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제22조 유료직업소개사업 등록 사항의 변경
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제21조 
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제20조 
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제19조 직업상담원의 자격
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제18조의2 유료직업소개사업자 및 종사자의 준수사항
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제18조 유료직업소개사업의 시설기준
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제17조의2 
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제17조 유료직업소개사업의 등록
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제16조 
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제15조 
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제14조 
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제13조의2 
"직업안정법 시행규칙[시행2024. 6. 12.] [고용노동부령 제416호,2024. 6. 12., 타법개정]",제13조 
